Map	Speaker	Dialogue
Checkpoint_Event34_Page1	Panayiotis Hegedűs	Stay in line, please.
Checkpoint_Event35_Page1	Tarık Martinović	And I'm telling you...
Checkpoint_Event35_Page1	Tarık Martinović	That we don't have any space left in there.
Checkpoint_Event36_Page1	Bartolomeu Marušić	This is ridiculous!
Checkpoint_Event36_Page1	Bartolomeu Marušić	I have an appointment in Trachi at six o' clock, damn you!
Checkpoint_Event38_Page1	Hanife Puga	Is it me or does this queue not move forward, at all?
Checkpoint_Event40_Page1	Daniel Székely	Can I interest you in some dumplings, good Sir?
Checkpoint_Event44_Page1	Albert Barış	Hah!
Checkpoint_Event44_Page1	Albert Barış	No patience these young folks!
Checkpoint_Event46_Page1	Andreu Vadas	Please be patient.
Checkpoint_Event49_Page1	Milovan Nyitrai	Get back into the queue, will you?
Checkpoint_Event51_Page1	Tereza Albu	How dare this brute call a lady like me a witch!
Checkpoint_Event51_Page1	Tereza Albu	Oh, I'll show him, alright!
Checkpoint_Event52_Page1	Kiro Lovász	Two day since I've applied for a permit..
Checkpoint_Event52_Page1	Kiro Lovász	I just want to pass through...
Checkpoint_Event52_Page2	Kiro Lovász	Worst of all, getting out is only going to get harder.
Carriage_Event1_Page1	Ganymede	Umm....
Carriage_Event1_Page1	Ganymede	Hello?
Carriage_Event2_Page1	Ganymede	Glad to have you back!
Carriage_Event2_Page1	Ganymede	We're almost there.
Carriage_Event2_Page1	Atlas	How much longer?
Carriage_Event2_Page1	Ganymede	Well...
Carriage_Event2_Page1	Ganymede	If our driver doesn't kill us, beforehand...
Carriage_Event2_Page1	Ganymede	A few minutes, at most.
Carriage_Event3_Page2	Daphne	Don't you guys worry about that!
Carriage_Event3_Page2	Daphne	I made it more than clear to him that he better not mess this up!
Carriage_Event3_Page2	Atlas	A lot of initiative...
Carriage_Event3_Page2	Atlas	For a counsellor.
Carriage_Event3_Page2	Daphne	Gladly!
Carriage_Event3_Page2	Atlas	Anyways...
Carriage_Event3_Page2	Atlas	You guys need a brief on anything?
Carriage_Event3_Page2	Atlas	We are about to reach our side of the border close to Trachi's eastern checkpoint.
Carriage_Event3_Page2	Atlas	Once we're there, we'll make contact with our man in the republican guard.
Carriage_Event3_Page2	Atlas	Who will hand us the necessary papers to enter the city.
Carriage_Event3_Page2	Ganymede	Can't we just go through the main gate?
Carriage_Event3_Page2	Atlas	Theoretically, yeah.
Carriage_Event3_Page2	Atlas	Though there have been reports that Ionians are being subjected to heavy delays in their passport proceedings.
Carriage_Event3_Page2	Atlas	So we'd rather not take any chances.
Carriage_Event3_Page2	Ganymede	Gotcha!
Carriage_Event3_Page2	Atlas	Once we're inside, we'll disperse and make our way to the safehouse, individually.
Carriage_Event3_Page2	Atlas	And support the embassy by gathering intelligence throughout the city.
Carriage_Event3_Page2	Atlas	It's vital that the negotiations between Trachi and our government proceed without any incidents.
Carriage_Event3_Page2	Ganymede	Talks have been deadlocked for the last few weeks, so I heard.
Carriage_Event3_Page2	Atlas	That is correct.
Carriage_Event3_Page2	Atlas	And even though we can't be sure what the reason for this is...
Carriage_Event3_Page2	Atlas	It's likely that Amryn was involved.
Carriage_Event3_Page2	Atlas	Whatever the case might be, though.
Carriage_Event3_Page2	Atlas	We're here to change that.
Carriage_Event3_Page2	Atlas	Within the next three days, that is.
Carriage_Event3_Page2	Ganymede	And what if nothing happens by the end of it?
Carriage_Event3_Page2	Atlas	Let's hope it won't come to that.
Carriage_Event3_Page2	Atlas	Now, I think you're already aware of this.
Carriage_Event3_Page2	Atlas	But for the record...
Carriage_Event3_Page2	Atlas	We're not formally recognized by the committee.
Carriage_Event3_Page2	Atlas	In other words...
Carriage_Event3_Page2	Atlas	Once we've crossed the border, we'll be stateless.
Carriage_Event3_Page2	Atlas	Alright.
Carriage_Event3_Page2	Atlas	Let's go.
Barracks_Event1_Page3	Unknown	--- No one hears you desperate knocking sounds ---
Barracks_Event2_Page1	Panagiotakis Samaras	No entry for civilians.
Barracks_Event5_Page1	Ganymede	So, what now?
Barracks_Event5_Page1	Daphne	We could try another set of passports.
Barracks_Event5_Page1	Daphne	Though I doubt we'll even get to the first screening today.
Barracks_Event5_Page1	Atlas	If they don't find another reason to deny us again, that is.
Barracks_Event5_Page1	Ganymede	How about we use the rest of the day to have a look around?
Barracks_Event5_Page1	Ganymede	And if all else fails, we can still be first in line, tomorrow.
Barracks_Event5_Page1	Atlas	Worth a shot.
Barracks_Event5_Page1	Daphne	Agreed!
Barracks_Event6_Page1	Spartak Kasun	I wonder how the western gate is doing...
Barracks_Event6_Page1	Spartak Kasun	Last I heard there was almost a riot, since some petty noble from Drakon refused to relinquish his weapon.
Barracks_Event6_Page2	Spartak Kasun	He actually had the gall to ask for the "noble's version" of our constitution.
Barracks_Event7_Page1	Louis Tanner	Enjoyed your little stroll around the countryside?
Barracks_Event7_Page1	Atlas	Considering we're already several hours behind schedule...
Barracks_Event7_Page1	Atlas	I'd rather skip the pleasantries.
Barracks_Event7_Page1	Louis Tanner	Alright, have it your way.
Barracks_Event7_Page1	Louis Tanner	Now, I'm afraid you won't like what I'm going to say next.
Barracks_Event7_Page1	Atlas	Is that so?
Barracks_Event7_Page1	Louis Tanner	While I was out in the field, a letter from the Mayor arrived.
Barracks_Event7_Page1	Louis Tanner	Unfortunately, he decided to rescind your invitation to the city.
Barracks_Event7_Page1	Daphne	You've got to be kidding me.
Barracks_Event7_Page1	Louis Tanner	It's the truth, I'm afraid.
Barracks_Event7_Page1	Atlas	You do realize you're violating an international agreement?
Barracks_Event7_Page1	Louis Tanner	Whatever the case might be.
Barracks_Event7_Page1	Louis Tanner	It's out of my hands.
Barracks_Event7_Page1	Louis Tanner	You're not barred from entering the city through regular means, of course.
Barracks_Event7_Page1	Louis Tanner	But I'm afraid this particular route is closed to you.
Barracks_Event7_Page1	Louis Tanner	Now, if there's nothing else to discuss...
Barracks_Event7_Page1	Louis Tanner	I must formally ask you to leave Trachian territory.
Barracks_Event7_Page1	Louis Tanner	Unless you prefer to be escorted from the premises, of course.
Barracks_Event7_Page1	Atlas	That won't be necessary.
Barracks_Event7_Page1	Atlas	We'll be going.
Barracks_Event7_Page2	Louis Tanner	Leave.
Barracks_Event8_Page1	Feliks Antić	At the very least they don't have to do with Ionians, man.
Safehouse_Event1_Page1	Ralph Mihaila	Top of the day to you!
Safehouse_Event1_Page2	Ralph Mihaila	Hope you enjoy your stay!
Safehouse_Event1_Page3	Atlas	Over here.
Safehouse_Event1_Page3	Atlas	If you'd be so kind, Ralph.
Safehouse_Event1_Page3	Ralph Mihaila	Of course!
Safehouse_Event1_Page4	Ralph Mihaila	Until next time.
Safehouse_Event1_Page6	Concierge	Good day, sir!
Safehouse_Event1_Page6	Tillian	To you as well.
Safehouse_Event1_Page6	Concierge	How may I help you?
Safehouse_Event1_Page6	Tillian	This is Archer Street No. 7, right?
Safehouse_Event1_Page6	Concierge	Quite so.
Safehouse_Event1_Page6	Tillian	I see.
Safehouse_Event1_Page6	Concierge	I-i'm not sure I understand...
Safehouse_Event1_Page6	Tillian	You have the keys for the apartment upstairs?
Safehouse_Event1_Page6	Concierge	Y-yes, right here!
Safehouse_Event1_Page6	Tillian	Good.
Safehouse_Event1_Page6	Tillian	Go ahead, then.
Safehouse_Event1_Page6	Concierge	It's open.
Safehouse_Event1_Page6	Tillian	After you.
Safehouse_Event3_Page1	Anita De Lange	I'll be right with you.
Safehouse_Event5_Page1	Man	I told you she wouldn't mind!
Safehouse_Event5_Page2	Man	I told you she wouldn't mind!
Safehouse_Event5_Page3	Anita De Lange	I'll be right with you.
Safehouse_Event6_Page1	Jussi Rantanen	Still, though...
Safehouse_Event6_Page1	Jussi Rantanen	I have a feeling I might have to sleep on the couch, for a few days.
Safehouse_Event6_Page2	Anita De Lange	I'll be right with you.
Safehouse_Event7_Page1	Horatio Calvo	Hey there!
Safehouse_Event8_Page1	Petri Janvier	Nothing like a fresh, cold beer to start the day!
Safehouse_Event8_Page2	Petri Janvier	Nothing like a fresh, cold beer to start the day!
Safehouse_Event9_Page2	Daphne	Hm?
Safehouse_Event9_Page2	Daphne	Where the hell is Ralph?
Safehouse_Event9_Page2	Atlas	That's a good question.
Safehouse_Event9_Page2	Atlas	Let's take a look upstairs.
Safehouse_Event9_Page3	Atlas	We still have some business here.
Safehouse_Event10_Page1	Pavel Alberts	If you want to do yourself a favour, try out the fruit salad.
Safehouse_Event16_Page1	Anita De Lange	I'll be right with you.
Safehouse_Event17_Page1	Dalibor Branko	Good day to you, sir!
Safehouse_Event17_Page1	Atlas	To you, as well.
Safehouse_Event17_Page1	Atlas	Say, I was wondering if you could help me.
Safehouse_Event17_Page1	Atlas	This is the Elysian, right?
Safehouse_Event17_Page1	Dalibor Branko	The one and only.
Safehouse_Event17_Page1	Atlas	Good.
Safehouse_Event17_Page1	Dalibor Branko	S-sir?
Safehouse_Event17_Page1	Atlas	You have the keys for the apartment?
Safehouse_Event17_Page1	Dalibor Branko	Y-yes, right here!
Safehouse_Event17_Page1	Atlas	Go ahead.
Safehouse_Event17_Page1	Dalibor Branko	It's open.
Safehouse_Event17_Page1	Atlas	After you.
Wenger Sanatorium_Event2_Page1	Miron Demetriou	I hope we'll meet again next year!
Wenger Sanatorium_Event3_Page1	Miron Demetriou	It's got to be in here, somewhere...
Wenger Sanatorium_Event3_Page1	Miron Demetriou	There we go!
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Excuse me.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	I'll be with you in a second!
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Put this here...
Wenger Sanatorium_Event3_Page1	Miron Demetriou	That goes there...
Wenger Sanatorium_Event3_Page1	Miron Demetriou	And we're set!
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Sorry for the delay, madam.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Daphne?
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Is that you?
Wenger Sanatorium_Event3_Page1	Daphne	Yep.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	That time of the year again?
Wenger Sanatorium_Event3_Page1	Daphne	Right.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Time surely flies...
Wenger Sanatorium_Event3_Page1	Miron Demetriou	I'm sorry.
Wenger Sanatorium_Event3_Page1	Daphne	It's alright.
Wenger Sanatorium_Event3_Page1	Daphne	How is he?
Wenger Sanatorium_Event3_Page1	Miron Demetriou	The usual, from what I've heard.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Though I'm sure your judgement is far better than mine in that respect.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	You're here to see him?
Wenger Sanatorium_Event3_Page1	Daphne	Right.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Very well.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	He's in the western wing right now.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Down the hall to your left.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Do you want someone to accompany you?
Wenger Sanatorium_Event3_Page1	Daphne	That won't be necessary.
Wenger Sanatorium_Event3_Page1	Daphne	I'll be on my way, then.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Alright.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Just need you to sign this and you're good to go.
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Thank you very much!
Wenger Sanatorium_Event3_Page1	Miron Demetriou	Was nice seeing you again!
Wenger Sanatorium_Event3_Page1	Daphne	Likewise!
Wenger Sanatorium_Event3_Page3	Miron Demetriou	Good day to you.
Wenger Sanatorium_Event3_Page3	Daphne	And to you.
Wenger Sanatorium_Event3_Page3	Miron Demetriou	How can I help you?
Wenger Sanatorium_Event3_Page3	Daphne	I'm here to speak to Mr. Patterson.
Wenger Sanatorium_Event3_Page3	Miron Demetriou	Oh!
Wenger Sanatorium_Event3_Page3	Miron Demetriou	You are Mrs. "Daphne"?
Wenger Sanatorium_Event3_Page3	Daphne	That's right.
Wenger Sanatorium_Event3_Page3	Miron Demetriou	Mr. Sobol?
Wenger Sanatorium_Event3_Page3	Miron Demetriou	The young lady here has an appointment with Mr.
Wenger Sanatorium_Event3_Page3	Miron Demetriou	Patterson.
Wenger Sanatorium_Event3_Page3	Miron Demetriou	Would you mind escorting her to his room?
Wenger Sanatorium_Event3_Page3	Dalibor Sobol	Sure.
Wenger Sanatorium_Event3_Page3	Dalibor Sobol	After me, if you'd be so kind.
Wenger Sanatorium_Event5_Page1	Halim Ardelean	I'm afraid this area is restricted.
Wenger Sanatorium_Event6_Page1	Dalibor Sobol	Sorry Ma'am, no entry for visitors.
Wenger Sanatorium_Event8_Page1	Stelian Vasile	Please talk to the receptionist if you have a request.
Wenger Sanatorium_Event10_Page1	Leonard Isaev	I honestly don't know how many more twelve-hour shifts I can take...
Wenger Sanatorium_Event11_Page1	Dalibor Sobol	Sorry madam, no entry for visitors.
Wenger Sanatorium_Event15_Page1	Miron Demetriou	I hope we'll meet again next year!
Debug_Event2_Page3	Unknown	DANIEL PRESTON
Debug_Event2_Page3	Ganymede	Much better.
Debug_Event2_Page3	Ganymede	Okay, so here's the deal...
Debug_Event2_Page3	Ganymede	I bought us around two and a half minutes.
Debug_Event2_Page3	Ganymede	Enough for a little chat!
Debug_Event2_Page3	Ganymede	When the music stops...
Debug_Event2_Page3	Ganymede	I'll probably wake up.
Debug_Event2_Page3	Ganymede	Until then, I'll answer your questions.
Debug_Event2_Page3	Ganymede	So go ahead.
Debug_Event2_Page3	Ganymede	Bit of an open question, isn't it?
Debug_Event2_Page3	Ganymede	And honestly, I think you're a better judge than me.
Debug_Event2_Page3	Ganymede	Right, right.
Debug_Event2_Page3	Ganymede	I don't have to pull that kind of shit with you, I forgot.
Debug_Event2_Page3	Ganymede	After all, you can't harm me... right?
Debug_Event2_Page3	Ganymede	There's a barrier between us.
Debug_Event2_Page3	Ganymede	Some might say I'm fiction.
Debug_Event2_Page3	Ganymede	Then again, what are you to me?
Debug_Event2_Page3	Ganymede	Hm, I've been wondering about that, too.
Debug_Event2_Page3	Ganymede	Probably a place I created.
Debug_Event2_Page3	Ganymede	Another level in an unending amount of layers.
Debug_Event2_Page3	Ganymede	It's a bit hard to comprehend, isn't it?
Debug_Event2_Page3	Ganymede	That's why we like to put things into boxes, I guess.
Debug_Event2_Page3	Ganymede	Uhm...
Debug_Event2_Page3	Ganymede	I guess so.
Debug_Event2_Page3	Ganymede	No hard feelings, though.
Debug_Event2_Page3	Ganymede	She's just playing her part.
Debug_Event2_Page3	Ganymede	And I'm playing mine.
Debug_Event2_Page3	Ganymede	It's funny, really.
Debug_Event2_Page3	Ganymede	Knowing you have no control about it...
Debug_Event2_Page3	Ganymede	Can make things a lot more bearable.
Debug_Event2_Page3	Ganymede	Aww!
Debug_Event2_Page3	Ganymede	Or we can just stare at each other until our time is up.
Debug_Event2_Page3	Ganymede	But who am I kidding.
Debug_Event2_Page3	Ganymede	Maybe I'm just talking to myself, after all.
Debug_Event2_Page3	Ganymede	Really?
Debug_Event2_Page3	Ganymede	You wanna leave, already?
Debug_Event2_Page4	Timotej Stojanov	Not this time.
Debug_Event2_Page4	Ganymede	Finally.
Debug_Event2_Page4	Ganymede	Yo!
Debug_Event2_Page4	Ganymede	You there?
Debug_Event2_Page4	Ganymede	Sorry.
Debug_Event2_Page4	Ganymede	That was a trick question.
Debug_Event2_Page4	Ganymede	But I'm glad you can hear me.
Debug_Event2_Page4	Ganymede	Shit...
Debug_Event2_Page4	Ganymede	She's already breaking through.
Debug_Event2_Page4	Ganymede	I don't know how long I can keep this up.
Debug_Event2_Page4	Ganymede	So I'll make this quick.
Debug_Event2_Page4	Ganymede	It's important that we talk.
Debug_Event2_Page4	Ganymede	And since this is as good an opportunity as any...
Debug_Event2_Page4	Ganymede	I might just try and see if this works.
Debug_Event2_Page4	Ganymede	Alright, here we go!
Debug_Event2_Page4	Ganymede	Much better.
Debug_Event2_Page4	Ganymede	Okay, so here's the deal...
Debug_Event2_Page4	Ganymede	I bought us around two and a half minutes.
Debug_Event2_Page4	Ganymede	Enough for a little chat!
Debug_Event2_Page4	Ganymede	When the music stops...
Debug_Event2_Page4	Ganymede	I'll probably wake up.
Debug_Event2_Page4	Ganymede	Until then, I'll answer your questions.
Debug_Event2_Page4	Ganymede	So go ahead.
Debug_Event2_Page4	Ganymede	Alright.
Debug_Event2_Page4	Ganymede	Looks like we're out of time.
Debug_Event2_Page4	Ganymede	It was fun, though.
Debug_Event2_Page4	Ganymede	And I hope we can do it again!
Debug_Event2_Page4	Ganymede	Ask away.
Debug_Event2_Page4	Ganymede	Bit of an open question, isn't it?
Debug_Event2_Page4	Ganymede	And honestly, I think you're a better judge than me.
Debug_Event2_Page4	Ganymede	Right, right.
Debug_Event2_Page4	Ganymede	I don't have to pull that kind of shit with you, I forgot.
Debug_Event2_Page4	Ganymede	After all, you can't harm me... right?
Debug_Event2_Page4	Ganymede	There's a barrier between us.
Debug_Event2_Page4	Ganymede	Some might say I'm fiction.
Debug_Event2_Page4	Ganymede	Then again, what are you to me?
Debug_Event2_Page4	Ganymede	Hm, I've been wondering about that, too.
Debug_Event2_Page4	Ganymede	Probably a place I created.
Debug_Event2_Page4	Ganymede	Another level in an unending amount of layers.
Debug_Event2_Page4	Ganymede	It's a bit hard to comprehend, isn't it?
Debug_Event2_Page4	Ganymede	That's why we like to put things into boxes, I guess.
Debug_Event2_Page4	Ganymede	Uhm...
Debug_Event2_Page4	Ganymede	I guess so.
Debug_Event2_Page4	Ganymede	No hard feelings, though.
Debug_Event2_Page4	Ganymede	She's just playing her part.
Debug_Event2_Page4	Ganymede	And I'm playing mine.
Debug_Event2_Page4	Ganymede	It's funny, really.
Debug_Event2_Page4	Ganymede	Knowing you have no control about it...
Debug_Event2_Page4	Ganymede	Can make things a lot more bearable.
Debug_Event2_Page4	Ganymede	Aww!
Debug_Event2_Page4	Ganymede	Or we can just stare at each other until our time is up.
Debug_Event2_Page4	Ganymede	But who am I kidding.
Debug_Event2_Page4	Ganymede	Maybe I'm just talking to myself, after all.
Debug_Event2_Page4	Ganymede	Really?
Debug_Event2_Page4	Ganymede	You wanna leave, already?
Debug_Event9_Page1	Icarus	Here we go.
Debug_Event9_Page1	Ganymede	Let's hope this works.
Debug_Event9_Page1	General Forten	What's the meaning of this?
Debug_Event9_Page1	Soldier	Sir!
Debug_Event9_Page1	Soldier	Please stay inside the carriage!
Debug_Event9_Page1	General Forten	Nonsense!
Debug_Event9_Page1	General Forten	Why did we stop?
Debug_Event9_Page1	Soldier	There's a cart blocking the road, sir.
Debug_Event9_Page1	General Forten	Then move it!
Debug_Event9_Page1	Soldier	Working on it, sir!
Debug_Event9_Page1	Icarus	Come on...
Debug_Event9_Page1	Icarus	What's he waiting for?
Debug_Event9_Page1	Ganymede	He'll do it, don't worry.
